STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
Selangor,LANGAT,2.815335,101.512831,19,2BLGT027,LANGAT,2017/12/4 12:10,64.7,4.92,8,35,212,7.11,2.5,29.653,109.3,0.05,220.42,179,391,11.4,22,0.09,0.011,<0.001,<0.001,0.002,0.01,0.047,4.5,0.29,5.1,1.8,16.9,<1.000,<0.050,300,30000,71.0196954,68.75593348,58.05555081,19.93887133,47.39613765,99.023795,60.4339166,III
Selangor,LANGAT,2.87611,101.451639,19,2BLGT026,LANGAT,2017/12/6 12:25,71.8,5.04,4,15,215,6.68,0.96,30.874,18849.4,11.09,118.16,14800,15000,<0.010,6060,0.07,0.009,<0.001,<0.001,0.005,0.004,0.051,112,<0.010,152,361,3260,<1.000,<0.050,200,14400,80.2329536,83.48,79.15,49.02894369,47.10895389,98.308592,72.86525501,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/2/5,49.347,3.551,7,24,33,7.351,0.5,29.3,18836.693,11.108,23.011,13800,13833,1.04,6220,<0.010,0.004,<0.0010,<0.001,0.002,0.001,0.015,133,0.35,125,383,3140,<1.000,<0.050,1000,500000,49,73,70,63,80,98,70,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/2/5,53.981,4.135,6,18,66,6.649,1.17,29.191,281.33,0.132,41.123,244,310,7.42,134,<0.010,0.004,<0.0010,<0.001,0.001,0.002,0.016,14.9,0.12,8,11.8,71.1,<1.000,<0.050,<1.000,3200,56,77,75,44,66,98,68,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/2/5,86.597,6.599,6,18,53,7.975,1.19,29.515,168.105,0.078,53.785,81,134,5.41,9,0.14,0.01,<0.0010,<0.001,0.001,0.003,0.016,7.2,0.4,3.8,0.9,10.8,<1.000,<0.050,2400,46000,95,77,75,43,71,91,76,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/2/8,68.74,5.411,5,15,25,7.287,2.17,27.668,179.223,0.083,42.128,92,117,3.65,8,0.2,0.011,<0.0010,<0.001,0.001,0.002,0.02,13,0.17,3.3,1.1,10,<1.000,<0.050,23000,99000,76,79,79,26,84,98,73,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/2/8,97.707,7.729,4,16,69,7.527,1.73,27.399,106.946,0.049,42.035,55,124,2.89,5,0.26,0.007,<0.0010,<0.001,0.002,0.002,0.01,6.4,0.25,2.4,0.7,6.7,<1.000,<0.050,7200,60000,100,83,78,34,65,96,77,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/2/8,94.178,7.449,4,13,16,7.567,1.24,27.405,96.173,0.044,23.575,49,65,2.6,3,0.12,0.004,<0.0010,<0.001,<0.001,0.001,0.008,5.2,0.26,2.2,0.7,5.5,<1.000,<0.050,6600,96000,100,83,82,42,88,96,83,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/2/8,60.091,4.609,5,17,42,7.747,2.13,29.134,188.914,0.088,52.194,97,139,4.09,9,0.23,0.012,<0.0010,<0.001,0.001,0.003,0.051,13.4,0.24,3.4,1.1,10.9,<1.000,<0.050,16000,140000,65,79,76,27,76,94,69,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/2/10,115.413,8.884,5,19,4,7.785,0.05,28.951,41.406,0.018,3.497,21,25,1.63,6,0.07,0.002,<0.0010,<0.001,<0.001,<0.001,0.007,0.4,0.11,1.8,0.1,2.5,<1.000,<0.050,<1.000,18800,100,79,74,95,95,94,90,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/2/10,111.776,8.578,6,26,10,7.881,0.1,29.122,49.754,0.022,15.43,24,34,2.07,8,0.06,0.003,<0.0010,<0.001,<0.001,<0.001,0.007,0.5,0.24,1.9,0.2,3.2,<1.000,<0.050,1800,20000,100,77,67,90,92,93,87,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/4/3,41.212,2.806,4,16,354,6.893,0.86,31.21,25394.871,15.358,121.477,17400,17754,0.1,8780,Triennial,0.013,<0.0010,<0.001,0.003,0.005,<0.100,182,<0.100,202,507,4490,Triennial,<0.050,400,13000,37,83,78,52,35,99,62,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/4/3,45.876,3.45,8,32,681,7.073,1.8,30.21,594.927,0.285,178.752,285,966,17,83,Triennial,0.009,<0.0010,<0.001,0.002,0.006,<0.100,5.7,0.28,9.1,4.9,96.9,Triennial,<0.050,1700,14400,43,69,61,33,14,99,51,IV
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/4/3,71.437,5.327,8,30,144,6.833,3.14,30.765,188.833,0.087,87.775,78,222,5.15,10,Triennial,0.012,<0.0010,<0.001,0.002,0.009,<0.100,9.6,0.42,4.7,1,10.7,Triennial,<0.050,3000,30000,80,69,63,10,54,99,63,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/4/7,74.542,5.827,7,24,402,7.453,1.43,28.062,152.289,0.07,332.806,78,480,3.26,10,Triennial,0.009,<0.0010,<0.001,<0.001,0.006,<0.100,12.9,<0.100,4.2,1.4,10.4,Triennial,<0.050,12200,114000,83,73,70,39,31,97,66,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/4/7,85.174,6.617,5,20,253,7.158,1.01,28.413,108.462,0.05,155.995,55,308,3.73,5,Triennial,0.008,<0.0010,<0.001,<0.001,0.008,<0.100,6.3,0.12,3.8,0.7,7,Triennial,<0.050,7000,49000,94,79,73,48,44,99,73,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/4/9,106.454,8.242,3,10,12,7.473,0.08,28.622,41.604,0.018,1.242,25,37,1.14,3,Triennial,0.003,<0.0010,<0.001,<0.001,<0.001,<0.100,1.4,0.59,2.7,0.5,3.5,Triennial,<0.050,1800,36000,100,88,86,92,91,97,92,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/4/10,107.592,8.525,3,13,12,7.736,0.11,27.309,47.246,0.021,9.037,31,43,2.08,5,Triennial,0.004,<0.0010,<0.001,<0.001,<0.001,<0.100,1.7,0.22,2.5,0.7,5,Triennial,<0.050,3400,50000,100,88,82,89,91,94,91,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/4/10,92.817,7.048,5,21,45,7.078,2.56,29.718,153.713,0.071,53.421,78,123,1.75,15,Triennial,0.013,<0.0010,<0.001,<0.001,0.003,<0.100,5.6,0.76,6.1,0.7,18.1,Triennial,<0.050,17000,79000,100,79,73,19,74,99,75,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/4/10,77.494,5.739,11,44,45,7.259,3.96,31.164,256.083,0.119,21.674,182,227,3.63,16,Triennial,0.02,<0.0010,<0.001,0.002,0.002,<0.100,11.1,0.45,6.4,1.1,18.9,Triennial,<0.050,3600,40000,87,58,50,0,74,98,62,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/6/5,48.148,3.294,6,24,101,7.012,0.25,31.081,24731.658,14.921,19.328,16700,16801,<0.010,8160,0.2,0.01,<0.0010,<0.001,0.003,0.002,0.02,153,<0.010,173,417,4500,<1.000,<0.050,600,49000,47,77,70,74,59,99,69,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/6/5,42.779,3.221,7,26,101,7.014,1.19,30.149,512.327,0.244,53.578,211,312,12.2,41,0.1,0.005,<0.0010,<0.001,0.001,0.003,0.021,8.4,<0.010,7.3,3.2,30.3,<1.000,<0.050,1000,10000,39,73,67,43,59,99,61,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/6/5,59.665,4.473,8,34,74,7.195,2.75,30.446,255.306,0.119,46.103,148,222,2.73,16,0.18,0.005,<0.0010,<0.001,<0.001,<0.001,0.013,2.9,0.11,5.3,0.3,15.5,<1.000,<0.050,400,7000,64,69,59,16,63,99,61,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/6/11,37.765,2.854,23,89,53,7.221,4.17,29.977,282.158,0.132,32.543,179,232,3.75,16,0.32,0.022,<0.0010,<0.001,0.001,0.003,0.064,2.6,0.03,4.7,0.3,15.4,<1.000,<0.050,340000,7600000,32,28,22,0,71,99,39,IV
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/6/11,49.961,3.845,7,25,164,6.88,2.9,28.96,152.445,0.07,78.369,71,235,<0.010,8,0.1,0.01,<0.0010,<0.001,<0.001,0.004,0.015,1.3,0.14,3.6,0.2,9.3,<1.000,<0.050,6000,104000,50,73,69,13,52,99,58,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/6/11,74.959,5.715,5,22,162,7.123,3.58,29.483,168.673,0.078,70.444,80,242,<0.010,9,0.14,0.01,<0.0010,<0.001,0.005,0.004,0.018,1.6,0.09,4.1,0.2,10.8,<1.000,<0.050,13000,90000,84,79,72,4,52,99,66,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/6/11,40.223,2.944,16,61,49,7.431,3.35,31.856,275.051,0.128,32.285,180,229,<0.010,17,0.41,0.022,<0.0010,<0.001,0.001,0.004,0.052,2.6,0.01,5.4,0.2,17.8,<1.000,<0.050,50000,660000,35,43,37,7,72,97,46,IV
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/6/12,103.395,8.117,3,12,43,7.503,0.13,27.832,52.927,0.023,7.035,26,69,2.54,2,0.11,0.005,<0.0010,<0.001,<0.001,<0.001,0.009,0.2,0.65,1.3,<0.1000,3,<1.000,<0.050,3200,50000,100,88,83,87,75,97,89,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/6/12,103.387,8.146,4,18,31,7.597,0.15,27.634,44.292,0.019,5.271,26,57,0.85,1,0.17,0.003,<0.0010,<0.001,<0.001,<0.001,0.009,0.2,0.59,1.5,<0.1000,2.4,<1.000,<0.050,4000,140000,100,83,75,85,81,96,87,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/8/2,54.987,4.001,6,26,245,6.497,0.92,29.794,13313.195,7.616,77.653,19300,19545,<0.010,9200,0.21,0.02,<0.0010,<0.001,0.003,0.003,0.02,211,<0.010,252,624,5820,<1.000,<0.050,2200,10400,57,77,67,50,44,97,64,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/8/2,35.109,2.723,8,31,93,6.658,3.09,28.488,319.721,0.151,78.138,262,355,7.05,39,0.34,0.01,<0.0010,<0.001,0.001,0.004,0.021,8.7,0.35,9.4,2.6,34.1,<1.000,<0.050,900,11200,28,69,62,11,57,98,52,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/8/2,72.734,5.775,5,21,163,7.035,1.66,27.164,177.295,0.083,98.697,95,258,3.39,12,0.18,0.011,<0.0010,<0.001,0.002,0.01,0.034,4.3,0.33,5,0.5,13.1,<1.000,<0.050,300,7600,81,79,73,35,52,99,70,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/8/7,41.108,3.169,22,87,57,7.019,4.52,28.828,280.833,0.132,44.907,235,292,2.25,21,0.61,0.023,<0.0010,<0.001,0.002,0.002,0.049,4.6,0.04,6.8,0.5,21.4,<1.000,<0.050,102000,58000000,36,30,23,0,69,99,40,IV
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/8/7,68.848,5.341,8,35,130,7.157,3.12,28.482,147.202,0.068,76.833,85,215,3.16,11,0.3,0.012,<0.0010,<0.001,<0.001,0.005,0.015,0.9,0.31,3.8,<0.1000,10.7,<1.000,<0.050,5200,80000,77,69,58,10,56,99,62,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/8/7,80.113,6.183,8,29,137,7.068,3.93,28.79,164.301,0.076,73.342,94,231,2.98,11,0.36,0.016,<0.0010,<0.001,0.001,0.004,0.061,0.9,0.26,3.6,<0.1000,11.1,<1.000,<0.050,22000,122000,89,69,64,0,55,99,64,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/8/7,43.256,3.226,28,84,44,7.135,4.32,30.732,277.608,0.13,36.467,246,290,<0.010,20,0.62,0.022,<0.0010,<0.001,0.001,0.002,0.045,2.5,0.04,6,0.2,21.3,<1.000,<0.050,44000,790000,40,20,24,0,75,99,40,IV
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/8/8,99.933,7.984,3,10,52,7.707,0.16,26.846,51.402,0.023,17.291,184,236,1.95,3,0.17,0.004,<0.0010,<0.001,<0.001,<0.001,0.016,0.3,0.76,1.7,<0.1000,3.4,<1.000,<0.050,7400,130000,100,88,86,84,71,95,88,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/8/8,102.473,8.129,3,9,12,7.657,0.09,27.257,39.325,0.017,5.529,77,89,3.97,2,0.11,0.003,<0.0010,<0.001,<0.001,<0.001,0.009,0.2,1.03,1.2,<0.1000,2.6,<1.000,<0.050,1400,50000,100,88,87,91,91,95,92,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/10/3,48.983,3.553,3,12,63,6.796,1,30.384,11269.396,6.355,41.025,54,117,4.5,12,0.12,0.004,<0.0010,<0.001,0.001,0.002,0.017,6.1,0.61,5.4,1,5.7,<1.000,<0.050,1300,20000,48,88,83,48,67,99,70,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/10/3,51.998,3.965,4,13,103,7.187,2.15,29.467,274.99,0.129,76.265,170,273,6.07,22,0.13,0.01,<0.0010,<0.001,0.002,0.004,0.027,16.5,0.44,6.9,3.2,18.7,<1.000,<0.050,1100,25000,53,83,82,27,59,99,66,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/10/4,89.483,6.914,5,13,413,7.188,0.68,28.723,121.135,0.056,237.306,64,477,0.05,8,0.11,0.009,<0.0010,<0.001,0.002,0.009,0.034,8.6,0.29,3.9,1.3,7.9,<1.000,<0.050,5000,42000,97,79,82,57,30,99,75,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/10/8,113.105,9.028,4,13,33,7.265,0.19,26.905,50.495,0.022,13.581,26,59,2.81,1,0.15,0.005,<0.0010,<0.001,0.002,<0.001,0.012,2.5,0.41,2.6,0.6,3.6,<1.000,<0.050,3200,32000,100,83,82,81,80,98,88,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/10/8,110.58,8.78,8,25,9,7.461,0.06,27.193,38.62,0.016,5.381,21,30,2.08,<1.000,0.1,0.003,<0.0010,<0.001,<0.001,<0.001,0.009,1.4,0.46,2.3,0.4,2.8,<1.000,<0.050,2000,114000,100,69,69,94,92,97,87,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/10/9,74.379,5.916,10,33,375,7.281,1.17,27.083,142.226,0.066,235.407,73,448,4.86,5,0.06,0.012,<0.0010,<0.001,0.002,0.014,0.038,11,0.24,3.8,0.8,6.1,<1.000,<0.050,19000,320000,83,61,60,44,33,98,63,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/10/9,92.587,7.358,6,21,210,7.052,0.94,27.143,91.291,0.042,113.696,46,256,3.09,2,0.09,0.007,<0.0010,<0.001,0.001,0.005,0.013,4.5,0.55,3.3,0.5,4.4,<1.000,<0.050,11200,76000,100,77,73,50,48,99,75,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/10/9,88.779,7.038,7,21,182,6.816,0.94,27.28,92.009,0.042,111.169,47,229,3.11,3,0.06,0.008,<0.0010,<0.001,0.001,0.006,0.016,4.8,0.56,3.2,0.5,4.6,<1.000,<0.050,12200,74000,96,73,73,50,50,99,74,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/10/9,77.683,6.074,8,27,177,7.074,1.66,28.059,161.261,0.075,149.784,84,261,3.4,7,0.12,0.013,<0.0010,<0.001,0.002,0.009,0.035,12.4,0.4,3.9,0.9,7.1,<1.000,<0.050,22000,150000,87,69,66,35,51,99,68,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.855499,101.681547,19,1L03,LANGAT,2018/12/5,72.699,5.676,5,16,504,6.541,0.67,28.135,103.397,0.047,381.454,52,556,<0.010,5,0.19,0.007,<0.0010,<0.001,<0.001,0.015,0.025,3.8,0.88,3.9,0.4,5.8,<1.000,<0.050,7400,160000,81,79,78,57,24,97,69,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.815335,101.512831,19,1L02,LANGAT,2018/12/6,53.423,4.186,7,21,257,5.067,0.69,27.919,181.944,0.085,151.548,92,349,<0.010,10,0.22,0.008,<0.0010,<0.001,0.001,0.009,0.058,11.6,0.24,5.4,3.9,8.7,<1.000,<0.050,400,16000,55,73,73,57,43,59,60,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.993079,101.785532,19,1L05,LANGAT,2018/12/7,77.668,6.165,13,54,110,6.983,1.11,27.199,117.017,0.054,112.035,57,167,2.65,5,0.17,0.01,<0.0010,<0.001,0.001,0.005,0.022,9.2,0.62,4,0.9,6.6,<1.000,<0.050,17000,320000,87,52,42,45,58,100,64,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.964141,101.783797,19,1L04,LANGAT,2018/12/7,71.756,5.603,11,41,255,6.896,1.19,28.125,127.116,0.058,116.972,62,317,<0.010,5,0.13,0.013,<0.0010,<0.001,0.002,0.009,0.035,10.8,0.43,4.1,0.9,7.1,<1.000,<0.050,6000,170000,80,58,52,43,43,99,62,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.047051,101.776908,19,NEW,LANGAT,2018/12/10,94.75,7.468,6,22,96,7.058,0.36,27.608,74.444,0.033,53.593,35,131,2.81,3,0.07,0.005,<0.0010,<0.001,<0.001,0.003,0.011,4.4,0.48,3,0.7,4.1,<1.000,<0.050,17600,204000,100,77,72,68,56,99,79,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.040719,101.77367,19,1L15,LANGAT,2018/12/10,93.409,7.343,7,24,245,6.818,0.24,27.755,72.736,0.033,44.518,35,280,<0.010,3,0.06,0.005,<0.0010,<0.001,<0.001,0.004,0.013,4.4,0.45,3,0.7,4.2,<1.000,<0.050,18000,90000,100,73,70,75,44,99,77,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.87611,101.451639,19,1L01,LANGAT,2018/12/10,55.235,4.283,5,14,55,5.639,0.62,28.507,195.258,0.091,53.099,101,156,<0.010,17,0.05,0.004,<0.0010,<0.001,0.001,0.003,0.031,11.4,0.36,5.3,4.2,11.8,<1.000,<0.050,300,13800,57,79,80,59,70,84,70,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.111312,101.816819,19,1L16,LANGAT,2018/12/11,99.519,7.867,3,11,50,7.176,0.1,27.446,55.04,0.024,30.66,24,74,2.13,3,0.04,0.003,<0.0010,<0.001,<0.001,0.001,0.01,2,0.32,2.6,0.5,3.3,<1.000,<0.050,5200,200000,100,88,84,90,72,99,89,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.167259,101.850525,19,1L07,LANGAT,2018/12/11,100.478,7.947,3,14,27,7.321,0.15,27.418,42.106,0.018,17.297,20,47,1.59,1,<0.010,0.002,<0.0010,<0.001,<0.001,<0.001,0.008,1.4,0.13,2.4,0.5,2.6,<1.000,<0.050,1500,42000,100,88,80,85,83,98,89,II
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
