STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,03-Feb-16,54.1,4.23,15,44,19,7.17,6.25,29.04,138,0.06,36.9,224,243,0.084,13.504,0.041,0.006451485,0.000215886,<0.001,<0.001,<0.01,<0.01,21.85,0.013,5.831,1.324,16.583,<1,<0.05,1000,61000,55.7412158,45.82937919,49.86102177,0,86.69796706,98.784155,54.67418633,III
SELANGOR,LANGAT,03 06 677,101 49 009,19,1L16,LANGAT,04-Feb-16,103.7,8.14,7,20,5,7.30,0.11,27.87,45,0.02,8.8,27,32,0.46,1.806,0.045,0.003193824,<0.0002,<0.001,<0.001,<0.01,<0.01,2.071,0.443,2.25,0.495,3.842,<1,<0.05,50000,55000000,100,72.78866871,72.5,88.53,94.50957173,98.1155,87.60473853,II
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,03-Mar-16,76.3,5.29,7,27,13,6.90,1.94,31.43,19442,11.46,14.8,14000,14013,0.264,5630,0.121,0.002228,<0.0002,<0.001,<0.001,<0.01,<0.01,97.4,<0.01,1.22,368,3380,<1,<0.05,1600,184000,85.4167106,72.78866871,66.33240074,30.57759102,89.94740053,99.3913,74.13988624,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,03-Mar-16,32.7,2.44,6,17,35,7.83,2.59,30.52,442,0.21,37.2,283,318,4.024,50.155,0.081,0.002677,<0.0002,<0.001,<0.001,<0.01,<0.01,19.274,<0.01,9.624,5.341,42.42,<1,<0.05,600,53000,24.6905434,77.04376321,76.49,18.41269523,78.7074274,93.273155,58.85650583,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,03-Mar-16,83.9,6.15,4,10,17,7.97,6.26,31.68,281,0.13,26.6,168,185,0.644,17.969,0.077,0.005146,<0.0002,<0.001,<0.001,<0.01,<0.01,20.689,<0.01,7.188,2.368,23.468,<1,<0.05,2300,79000,92.6633562,83.48,85.8,0,87.76515196,91.426555,74.98874928,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,03-Mar-16,59.9,4.44,11,27,47,7.11,6.31,31.36,254,0.12,67.1,155,202,0.667,13.919,0.202,0.008216,<0.0002,<0.001,<0.001,<0.01,<0.01,19.121,<0.01,6.286,1.473,18.39,<1,<0.05,500,35000,64.2609402,57.87603808,66.33240074,0,73.31113821,99.023795,59.35967571,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,03-Mar-16,54.6,3.89,9,24,52,7.88,6.68,30.11,255,0.12,60.7,160,212,0.708,14.44,0.194,0.009373,<0.0002,<0.001,<0.001,<0.01,<0.01,19.795,<0.01,6.308,1.543,18.481,<1,<0.05,500,60000,56.4855328,64.93365799,69.7034869,0,71.2027333,92.64088,58.42611307,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,06-Apr-16,61.1,4.63,7,20,67,7.37,0.34,29.52,216,0.1,136.5,143,210,4.441,16.519,<0.01,0.003247142,<0.0002,<0.001,<0.001,<0.01,0.010620985,16.102,0.182,6.179,1.62,13.583,<1,<0.05,2200,56000,65.9814738,72.78866871,72.5,69.09972167,65.33747683,97.670755,72.48521643,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,06-Apr-16,84.1,6.33,6,18,37,7.31,0.23,30.4,159,0.07,NA,87,124,3.191,10.053,<0.01,0.004614418,<0.0002,<0.001,<0.001,<0.01,<0.01,13.47,0.182,4.849,1.017,8.99,<1,<0.05,1500,75000,92.8246358,77.04376321,75.16,76.77,77.77396493,98.055595,82.81134067,II
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,06-Apr-16,66.1,5.01,9,27,47,7.69,0.26,29.4,182,0.08,73.4,98,145,7.679,11,<0.01,0.00592231,<0.0002,<0.001,<0.001,<0.01,<0.01,17.684,0.172,4.999,1.199,9.948,<1,<0.05,3800,162000,72.9203438,64.93365799,66.33240074,72.885,73.31113821,94.882595,73.04149829,III
