STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-01-07,106.1,9.00,30,98,122,7.53,3.60,23.64,137,0.06,245.4,85.4,207.4,0.068,7.527,0.12,0.009928214,<0.0002,<0.001,<0.001,<0.01,0.020989267,8.0758,1.7938,3.55827662,0.719185,10.2082,<1,0.09,126000,121000000,100,17.74139013,18.19218885,3.970873516,56.57957764,96.431555,49.50176439,IV
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-03-04,71.0,5.63,20,54,5,7.51,7.41,27.14,474,0.23,14.2,337,342,0.132,27.254,0.47,0.011007208,<0.0002,<0.001,<0.001,<0.01,0.013201841,14.2228,0.23765026,8.34015443,1.36253,50.3887,<1,<0.05,42000,320000,79.2528,33.95007704,41.96069683,0,94.50957173,96.603395,57.31378101,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-04-05,50.0,3.81,43,167,139,7.34,4.01,29.51,325,0.15,266.1,198,337,<0.01,31.579,0.118,0.005926356,<0.0002,<0.001,<0.001,<0.01,0.023847272,11.34896324,0.021362095,5.035282384,1.107882612,38.8314652,<1,<0.05,1100000,4500000000,49.605,5.84652444,0.804460878,0,54.75724942,97.86862,32.65804769,IV
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-05-08,83.3,6.27,9,34,14,7.45,4.80,30.17,242,0.11,33.1,176,190,1.228,20.299,0.162,0.008794869,<0.0002,<0.001,<0.001,<0.01,0.023698649,13.1304,1.11341,4.60189091,1.25622,23.42104403,<1,0.073926,6500,211000,92.1697926,64.93365799,59.03636906,0,89.39578585,97.089875,68.01467917,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-06-12,57.3,4.37,4,13,6,7.54,2.52,29.17,156,0.07,16.4,89,95,0.663,22.681,0.183,0.004960779,<0.0002,<0.001,<0.001,<0.01,0.022955781,5.060442891,0.115650702,4.597613184,0.873586787,20.18250896,<1,0.05613,50000,560000,60.4771966,83.48,81.81,19.58318972,93.9245259,96.34382,71.78244425,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-07-01,89.4,6.66,10,45,3,7.78,3.24,30.83,374,0.18,7.7,234,237,1.17,59.782,<0.01,0.008826915,<0.0002,<0.001,<0.001,<0.01,0.011368116,14.77474303,0.07490459,6.82254888,1.604306329,51.0316479,<1,0.090378,51000,1100000,96.4724032,61.31057952,49.0169006,8.51107738,95.69261497,93.87518,68.56814451,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-02-04,86.0,6.37,14,35,2,7.49,11.90,31.14,352,0.17,6.1,218,220,0.208,32,0.188,0.009464811,<0.0002,<0.001,<0.001,<0.01,<0.01,10.9167,0.1154707,6.24958162,1.0336,2.7,<1,<0.05,27000,500000,94.2738,48.60541138,58.44610655,0,96.29067101,96.770395,66.34559597,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-08-05,78.5,5.85,18,72,8,8.33,9.28,30.82,469,0.22,14.9,290,298,0.364,68.3,0.437,0.01463,<0.0002,<0.001,<0.001,<0.01,0.1813,7.396168452,0.50528291,6.688852515,0.836693573,29,<1,0.127248,30000,4500000,87.725175,38.33028263,30.3791191,0,92.76724071,85.589155,56.55640837,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-09-07,72.8,5.38,13,40,13,7.70,9.23,31.16,321,0.15,30.9,215,228,0.772,18,0.173,0.006219865,<0.0002,<0.001,<0.001,<0.01,0.015488725,7.77205312,<0.01,5.567,0.773,38.78,<1,<0.05,57000,410000,81.4345296,51.53274807,53.00666946,0,89.94740053,94.7755,61.95252984,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-10-09,92.1,7.02,6,29,24,7.40,0.35,29.45,312,0.15,46.6,180,204,1.066,15.801,0.13,0.007546333,<0.0002,<0.001,<0.001,<0.01,0.013772323,0.727,0.124150755,3.544102372,0.212,34.53,<1,<0.05,75000,5700000,100,77.04376321,63.84956527,68.82487315,84.09811951,97.462,82.32911555,II
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-11-04,67.2,5.20,34,77,12,7.55,3.54,28.54,349,0.16,34.9,216,228,0.086,33.943,0.252,0.043904981,<0.0002,<0.001,0.001743276,<0.01,0.103200173,<0.1,0.424656629,4.257262551,0.24193668,43.48690572,<1,<0.05,26000,570000000,74.3873104,13.14405732,27.87782994,4.725537051,90.5030959,96.254875,50.06294287,IV
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2015-12-01,91.6,6.93,4,12,8,7.79,0.21,30.01,316,0.15,18.6,256,264,1.088,9.991,<0.01,0.00335347,<0.0002,<0.001,<0.001,<0.01,0.023825706,9.453255009,0.407305539,7.235208058,0.674830695,10.96980015,<1,<0.05,13000,190000,97.6067408,83.48,82.741,78.24,,93.757195,73.56010638,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-01-07,65.4,4.80,11,55,9,7.70,10.36,31.6,422,0.2,21.4,315,324,0.274,21.865,0.258,0.008889639,<0.0002,<0.001,<0.001,<0.01,0.010995757,12.72,0.266,8.249,1.359,21.13,<1,<0.05,300,31000,71.9745472,57.87603808,41.2334112,0,92.19494389,94.7755,59.55244443,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-02-03,64.7,4.98,34,76,12,7.19,4.81,28.82,404,0.19,20,328,340,2.395,21.513,0.181,0.006895266,0.000245487,<0.001,<0.001,<0.01,<0.01,11.451,0.051,6.388,1.207,51.248,<1,<0.05,51000,5900000,71.0196954,13.24535548,28.19467913,0,90.5030959,98.694595,48.97594593,IV
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-03-03,126.7,8.87,8,21,11,7.31,13.20,33.12,436,0.21,28.9,254,265,0.017,28.339,0.551,0.008992,<0.0002,<0.001,<0.001,<0.01,<0.01,12.599,<0.01,8.228,1.528,56.033,<1,<0.05,9700,110000,100,68.75593348,73.23136262,0,91.06289964,98.055595,73.11738072,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-04-06,86.7,6.44,14,37,31,7.87,3.32,30.61,179,0.08,63.6,97,128,NA,12,<0.01,0.004150675,<0.0002,<0.001,<0.001,<0.01,<0.01,9.435,0.537,5.425,0.941,14.022,<1,<0.05,4100,132000,94.7688274,48.60541138,56.13765253,7.465440987,80.6167457,92.769755,64.21706065,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-05-08,70.4,5.21,32,69,94,7.58,1.81,31.22,315,0.15,101.9,196,290,0.098,22.447,0.055,0.005796483,<0.0002,<0.001,<0.001,<0.01,0.010047683,8.698,0.847,4.732,0.93,38.391,<1,<0.05,95000,1140000,78.5070672,15.38084529,32.10310087,32.39843895,56.34598088,95.98078,50.72322791,IV
N.SEMBILAN,LANGAT,02 48 110,101 47 490,19,1L23,BATANG NILAI,2016-06-08,77.2,5.76,20,66,30,7.49,1.48,30.65,339,0.16,14.7,224,254,2.913,23.963,0.179,0.006846309,<0.0002,<0.001,<0.001,<0.01,0.011952877,12.702,0.273,5.538,1.233,39.474,<1,0.158234,24000,165000,86.3802704,33.95007704,33.90443759,37.69198738,81.10304756,96.770395,61.12161725,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-07-01,91.4,6.70,17,35,8,7.57,0.53,31.62,329,0.15,11.3,232,240,8.42,29.51,0.29,0.008575657,0.000365998,<0.001,0.003039839,<0.01,<0.01,9.753,0.053,6.932,1.597,36.842,<1,<0.05,700,6000,97.5134112,40.69927348,58.05555081,62.03042605,92.76724071,96.073355,74.15082558,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-08-05,69.4,5.39,6,26,20,7.36,10.50,28.59,403,0.19,10.7,252,272,1.69,27,0.31,0.011,<0.0002,<0.001,<0.001,<0.01,0.06,14.2,0.83,8.5,1.5,52.6,<1,<0.05,32000,550000,77.2447232,77.04376321,67.43912732,0,86.17026563,97.73792,67.93820739,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-09-02,98.2,7.42,8,26,23,7.89,7.50,29.5,352,0.17,10.9,221,244,1.77,20,0.14,0.007,<0.0002,<0.001,<0.001,<0.01,0.04,14.8,0.34,6.3,1.2,48.6,<1,<0.05,22500,159000,100,68.75593348,67.43912732,0,84.61040919,92.510795,70.4928486,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-10-06,85.6,6.34,9,31,45,7.39,7.82,31.08,356,0.17,NA,226,271,<0.01,26,0.28,0.008,<0.0002,<0.001,<0.001,<0.01,0.02,13.3,0.21,8.2,1.4,44.4,<1,<0.05,37000,248000,93.9813968,64.93365799,62.06909427,0,74.17704763,97.532795,66.51662042,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-11-04,89.3,6.78,10,27,9,7.48,7.37,29.72,405,0.19,10.2,251,260,0.42,28,0.32,0.01,<0.0002,<0.001,<0.001,<0.01,0.03,10.9,0.18,6.6,1.3,45.8,<1,<0.05,27300,142000,96.4153086,61.31057952,66.33240074,0,92.19494389,96.85208,69.84700274,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,1L23,BATANG NILAI,2016-12-08,82.8,6.38,13,31,49,7.61,6.68,28.83,317,0.15,15.9,205,254,0.4,21,0.15,0.008,<0.0002,<0.001,<0.001,<0.01,0.03,13.7,0.27,7.4,1.6,37.2,<1,<0.05,35000,97000,91.7474896,51.53274807,62.06909427,0,72.4582,95.695795,62.98353233,III
N.SEMBILAN,LANGAT,02 48 120,101 47 514,19,,BATANG NILAI,2017-01-04,88.5,6.96,8,31,176,7.99,1.65,27.99,204,0.09,100.3,107,283,0.54,10,0.06,0.008,<0.0002,<0.001,<0.001,<0.01,0.05,10.3,0.76,4.2,0.8,27.8,<1,<0.05,43000,520000,95.941675,68.75593348,62.06909427,34.76944222,50.93485726,91.143395,68.40405184,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,,BATANG NILAI,2017-02-07,59.1,4.65,15,56,83,7.07,5.17,27.74,183,0.09,42.8,98,181,0.68,10,0.06,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,12.3,0.36,4.9,1.1,8.9,<1,<0.05,80000,470000,63.1042858,45.82937919,40.51683169,0,59.78276788,99.159355,50.53758345,IV
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,,BATANG NILAI,2017-03-03,126.7,8.87,5,13,21,7.31,4.93,29.87,379,0.18,6,234,255,0.58,23,0.2,0.01,<0.0002,<0.001,<0.001,<0.01,0.03,11.9,0.6,6,1.3,49.8,<1,<0.05,3400,79000,100,79.25,81.81,0,85.6464563,98.055595,75.61720441,III
N.SEMBILAN,LANGAT,02 48 109,101 47 488,19,,BATANG NILAI,2017-04-07,49.0,3.78,12,31,96,7.33,5.71,28.15,232,0.11,55.3,159,255,0.03,17,0.32,0.004,<0.0002,<0.001,<0.001,<0.01,0.02,13.1,0.31,6,1.1,16.2,<1,<0.05,42000,360000,48.1052,54.61994413,62.06909427,0,55.75242621,97.932155,51.56423526,IV
N.Sembilan,LANGAT,2.814387,101.81132,19,3NLGT023,BATANG NILAI,2017-10-06,85.6,6.63,8,21,36,8.45,2.04,28.435,923.6,0.45,19.44,378,414,2.69,45,0.95,0.021,<0.001,<0.001,<0.001,<0.001,0.069,0.8,0.56,3.4,0.2,112,<1.000,<0.050,25000,79000,93.9813968,68.75593348,73.23136262,29.00601795,78.23894962,83.294875,72.32107231,III
N.Sembilan,LANGAT,2.801874,101.791659,19,3NLGT024,BATANG NILAI,2017-08-07,59.0,4.43,9,26,26,7.39,13.5,30.351,315.7,0.15,22.93,197,223,<0.010,28,1.23,0.005,<0.001,<0.001,<0.001,<0.001,0.018,4.7,0.34,7.8,0.6,33.6,<1.000,<0.050,13000,144000,62.9592,64.93365799,67.43912732,0,83.08487939,97.532795,61.97619549,III
