ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
31,2.651733,101 55 501,LANGAT,9/1/2012,2012,III,0.413,0.109,0.204,0.042,0.562,0.003,0.00444,0.003,0.003,0.00749,0.407,0.083,0.00161,3.64E-06,0.007,0.00126,0.04686,0.06574,0.01593,0.0124,0.00166,0.04639,0.06205,0.00479,0.158,0.008,0.00047,0.001964434
32,2.590666,101.96595,LANGAT,4/2/2012,2012,III,0.366,0.239,0.222,0.001,0.555,0.134,0.0047,0.004,0.004,0.00366,0.273,0.064,0.00046,5.32E-06,0.003,0.00141,0.01429,0.04323,0.01593,0.0124,0.00166,0.04639,0.01916,0.00646,0.239,0.009,0.00043,0.001780056
33,2.651733,101 55 501,LANGAT,14/3/2012,2012,II,0.561,0.065,0.064,0.034,0.564,0.061,0.00275,0.002,0.001,0.00489,0.2,0.058,0.00001,2.61E-07,0.008,0.00046,0.02257,0.05444,0.01593,0.0124,0.00166,0.04639,0.03251,0.00228,0.231,0.006,0.00032,0.001056426
34,2.710183,101.952766,LANGAT,5/4/2012,2012,II,0.625,0.087,0.07,0.042,0.55,0.064,0.00277,0.002,0.002,0.00617,0.375,0.295,0.00164,9.68E-06,0.008,0.00041,0.01114,0.05453,0.01593,0.0124,0.00166,0.04639,0.09372,0.0035,0.098,0.006,0.00035,0.001305985
35,2.710183,101.952766,LANGAT,8/5/2012,2012,II,0.537,0.043,0.058,0.035,0.525,0.051,0.00264,0.002,0.002,0.00605,0.365,0.092,0.00062,2.15E-06,0.007,0.00039,0.00771,0.04426,0.01593,0.0124,0.00166,0.04639,0.081,0.00234,0.129,0.005,0.00029,0.001069092
36,2.710183,101.952766,LANGAT,12/6/2012,2012,III,0.256,0.217,0.131,0.046,0.52,0.173,0.00499,0.004,0.004,0.00851,0.465,0.085,0.00108,7.66E-06,0.011,0.00071,0.02657,0.08087,0.01593,0.0124,0.00166,0.04639,0.08257,0.00589,0.043,0.012,0.00045,0.002912805
37,2.710183,101.952766,LANGAT,5/7/2012,2012,III,0.452,0.304,0.246,0.043,0.557,0.138,0.00358,0.003,0.003,0.00699,0.412,0.057,0.00015,4.14E-06,0.009,0.00057,0.02543,0.06406,0.01593,0.0124,0.0339,0.04639,0.02838,0.00366,0.014,0.008,0.00035,0.00161562
38,2.710183,101.952766,LANGAT,2/8/2012,2012,IV,0.202,0.413,0.404,0.088,0.546,0.268,0.00624,0.004,0.005,0.01444,0.334,0.102,0.00485,2.09E-05,0,0.00126,0.056,0.13195,0.01593,0.0124,0.00166,0.04639,0.03677,0.00659,0.082,0.01,0.00044,0.002281705
39,2.710183,101.952766,LANGAT,5/9/2012,2012,III,0.355,0.261,0.264,0.066,0.554,0.096,0.00475,0.004,0.004,0.01069,0.335,0.088,0.00185,1.03E-05,0.008,0.00148,0.01257,0.08918,0.01593,0.0124,0.00166,0.04639,0.08647,0.00637,0.129,0.008,0.00047,0.00161725
40,2.693866,101.93366,LANGAT,3/10/2012,2012,III,0.352,0.217,0.216,0.086,0.626,0.143,0.0054,0.004,0.004,0.01291,0.475,0.119,0.0001,7.77E-07,0.001,0.00612,0.00429,0.04398,0.01593,0.0124,0.00166,0.04639,0.08083,0.00743,0.046,0.012,0.00229,0.007790887
41,2.693866,101.93366,LANGAT,7/11/2012,2012,II,0.568,0.087,0.07,0.067,0.561,0.047,0.00272,0.002,0.002,0.0088,0.335,0.064,0.00103,6.81E-06,0.008,0.00052,0.004,0.04267,0.01593,0.0124,0.00166,0.04639,0.06416,0.00355,0.169,0.006,0.00032,0.000877325
42,2.693866,101.93366,LANGAT,12/12/2012,2012,III,0.65,0.196,0.191,0.026,0.575,0.04,0.00228,0.002,0.001,0.00397,0.214,0.078,0.00027,2.72E-06,0.009,0.00052,0.02657,0.02325,0.01593,0.0124,0.00166,0.04639,0.09654,0.00304,0,0.006,0.00029,0.000903536
